OBJECTID,Name,Layer,Average housing prices,Distance away from CBD,Financial institution density,Retail store density,School density,Park density,Technology companies,Commercial building density,Medical institution density,Road density
276,Fangtou sub district,neighborhood,50328.17,7.37,3.2,25.89,6.41,19.7,1,12.82,13.07,9.59
181,Fangzhuang Regional Office,neighborhood,55564.53,5.97,28.31,40.14,11.82,12.4,11,23.65,22.09,15.4
182,Fengtai sub district,neighborhood,53075.87,16.74,5.11,28.04,5.5,3.9,11,21.62,13.24,14.18
101,Fengjiayu town,neighborhood,21522.37,94.61,0.01,0.27,0.01,0,0,0,0.04,0.75
215,Fozizhuang Township,neighborhood,19778.03,52.22,0.01,0.23,0.03,0.1,0,0.01,0.03,1.6
155,Ganjiakou Subdistrict ,neighborhood,100372.4,12.68,20.45,28.59,7.84,7.7,35,36.59,19.68,12.14
275,Gaobeidian Regional Office,neighborhood,51497.41,5.17,6.46,17.04,2.73,5.3,77,20.31,14.71,13.81
70,Gaoliying town,neighborhood,34396.96,28.32,0.36,2.43,0.26,2.8,10,1.23,1.79,3.41
121,Gaoling town,neighborhood,18766.89,96.05,0.01,0.48,0.08,0.1,0,0.02,0.09,0.47
227,Gongchen sub district,neighborhood,28374.11,33.05,3.57,9.19,3.67,7.9,15,8.64,9.73,9.12
120,Gubeikou town,neighborhood,18263.42,104.42,0.07,0.75,0.06,0.7,0,0.44,0.12,1.73
76,Gucheng sub district,neighborhood,39129.04,24.92,2.51,9.92,1.09,6.1,7,8.7,5.03,10.9
107,Gulou sub district,neighborhood,22747.76,61.17,9.94,21.88,2.98,11.5,8,11.55,22.1,8.54
252,Guanyinsi sub district,neighborhood,33559.19,21.06,1.73,7.26,2.01,1.4,0,3.74,3.74,7.48
290,Guanzhuang Regional Office,neighborhood,45012.52,10.99,2.4,11.9,4.22,6.7,17,10.65,9.21,10.47
58,Guangming sub district,neighborhood,37874.51,29.46,12.17,31.87,7.54,14.6,0,10.95,17.76,9.71
33,Guang'an mennei sub district,neighborhood,88622.68,9.22,13.84,60.24,14.25,20.4,6,40.3,20.76,18.52
26,Guang'anmenwai sub district,neighborhood,72238.43,11.49,19.31,39.52,9.74,21.7,8,42.04,33.02,13.55
82,Guangning sub district,neighborhood,33888.6,28.38,1.05,6.15,0.7,7,0,3.34,2.81,10.91
262,National new media industry base,neighborhood,41141.91,19.09,6.67,3.47,2.4,2.7,17,19.75,6.14,7.93
104,Orchard sub district,neighborhood,23416.69,60.54,10.03,30.95,4.8,19.6,1,12.86,20.93,6.82
156,Haidian sub district,neighborhood,119199.81,15.67,36.28,43.04,20.56,14.7,153,43.33,33.19,18.1
214,Hancunhe town,neighborhood,19061.07,59.14,0.11,0.85,0.25,0.8,1,0.19,0.38,3.97
303,Heping Street sub district,neighborhood,94994.94,7.47,18.82,30.86,12.65,9.3,46,55.54,25.3,16.13
230,Hepingli sub district,neighborhood,118976.84,7.27,25.74,44.34,8.79,18.4,23,42.29,27.38,12.04
190,Heyi sub district,neighborhood,43256.26,12.13,1.07,11.6,1.93,8.6,0,6.88,5.59,7.69
202,Hebei town,neighborhood,19727.46,44.46,0.07,0.82,0.14,0.1,0,0.16,0.26,2.48
103,Henan Zhai town,neighborhood,25676.12,54.94,0.11,1.65,0.14,0.5,1,0.09,0.64,1.56
270,HEIZHUANGHU District Office,neighborhood,42021.27,12.12,0.58,5.17,0.62,3.7,0,2.4,1.57,4.31
73,Houshayu District Office,neighborhood,43939.41,22.95,0.8,2.24,0.84,3.8,4,2.94,2.38,6.44
295,Hujialou sub district,neighborhood,78261.03,1.11,92.24,47.51,14.56,17.3,30,54.79,63.46,17.01
195,Huaxiang District Office,neighborhood,50246.59,16.66,2.06,5.86,1.43,3.1,21,6.72,4.54,10.04
162,Huayuan road sub district,neighborhood,92388.94,11.79,18.8,34.27,88.93,15.8,66,39.33,30.17,19.56
139,Huaibei town,neighborhood,28393.9,65.47,0.08,0.56,0.08,0.2,1,0.31,0.21,2.74
141,Huairou Regional Office,neighborhood,31930.87,50.82,0.62,2.7,0.43,2.2,2,1.27,2.03,4.4
261,Huangcun District Office,neighborhood,33539.98,23.99,0.59,3.08,1.08,2.4,6,1.92,2.15,8.03
99,Huangsongyu Township,neighborhood,20754.72,76.96,0.06,0.51,0.09,0.3,0,0.14,0.09,0.5
322,Huilongguan Regional Office,neighborhood,54850.02,24.02,4.53,9.87,3.87,6.2,64,9.06,14.74,10.31
41,Fuxian town,neighborhood,31800.66,34.91,0.16,1.89,0.29,0.8,4,0.28,0.64,2.5
