OBJECTID,Name,Layer,Average housing prices,Distance away from CBD,Financial institution density,Retail store density,School density,Park density,Technology companies,Commercial building density,Medical institution density,Road density
160,Wanliu Regional Office,neighborhood,96090.91,19.04,0.41,6.84,1.24,10.4,0,1.45,1.66,8.15
167,Wanshou Road sub district,neighborhood,72023.72,15.97,12.62,19.05,5.52,9,17,23.55,20.96,13.8
133,Wang Ping regional office,neighborhood,21439.02,42.81,0.06,1.17,0.06,0.2,0,0.25,0.17,2.34
297,Wangsiying Regional Office,neighborhood,51115.52,6.53,1.61,6.39,1.3,6.2,3,8.13,4.72,8.99
93,Wangxinzhuang town,neighborhood,23065.84,61.64,0.24,1.63,0.37,0.5,2,0.32,0.57,1.02
186,Wangzuo town,neighborhood,33496.21,31.3,0.27,0.85,0.39,2.7,0,0.81,1.17,6.09
69,Wangquan sub district,neighborhood,26250.11,26.62,3.17,8.54,1.99,3.7,6,4.27,8.61,7.37
284,Wangjing sub district,neighborhood,79055.03,8.8,14.03,18.43,9.22,21.5,39,19.05,30.11,16.98
304,Wangjing Kaifa sub district,neighborhood,83176.42,11.02,15.47,16.66,6.9,14.3,23,23.08,17.84,16.08
250,Weishanzhuang town,neighborhood,34059.41,29.65,0.16,1.5,0.22,1.7,0,0.37,0.72,6.7
158,Hot spring Regional Office,neighborhood,50278.81,28.57,0.63,3.26,1.24,3.6,18,3.78,1.93,8.38
75,Wulituo sub district,neighborhood,34169.1,27.81,0.2,2.62,0.57,2,1,1.52,0.94,6.91
159,Northwest Wang District Office,neighborhood,67211.29,25.47,0.75,2.63,1.04,3.1,54,4.34,2.06,8.08
265,Xihongmen Regional Office,neighborhood,37514.6,17.89,1.9,6.09,1.53,8.5,8,4.93,5.2,9.07
47,Xiji town,neighborhood,29057.89,35.65,0.14,1.91,0.22,1.2,2,0.2,0.36,2.89
211,Xilu sub district,neighborhood,28472.19,35.47,5.54,15.69,3.04,5.5,2,8.4,12.73,6.93
188,Xiluoyuan sub district,neighborhood,58858.43,9.42,13.29,34.62,8.39,10.5,1,30.77,24.48,13.48
164,Xisanqi sub district,neighborhood,67413.89,18.47,4.31,21.92,5.95,11.7,17,20.05,14.11,8.02
116,Hetian Gezhuang town,neighborhood,26231.98,64.24,0.09,0.83,0.06,0.1,3,0.15,0.22,1.77
20,West Chang'an Street sub district,neighborhood,123682.11,7.23,11.26,21.59,3.75,9.4,1,19,12.44,17.26
106,Xiwengzhuang town,neighborhood,17819.64,72.08,0.09,0.63,0.11,0.7,4,0.23,0.22,1.48
226,Xiayunling Township,neighborhood,19683.08,67.25,0,0.2,0.01,0.2,0,0,0.04,1.19
96,Xiagezhuang town,neighborhood,23128.68,64.91,0.12,1.06,0.21,0.3,1,0.26,0.41,2.93
273,Xiangheyuan Subdistrict ,neighborhood,96796.29,6.35,20.91,66.12,11.87,17,7,29.95,34.48,17.19
163,Xiangshan sub district,neighborhood,52804.78,24.96,0.44,2.22,0.4,7.4,0,1.68,1.58,10.9
7,Perfume garden sub district,neighborhood,20328.49,74.74,19.24,54.11,3.61,18,2,12.62,19.84,11.33
6,Xiangying Township,neighborhood,27172.55,84.72,0.02,0.46,0.01,0.3,0,0.02,0.05,0.65
206,Xiangyang sub district,neighborhood,19799.26,48.1,0.33,1.3,0.13,1.3,1,0.85,0.26,4.89
288,Xiaoguan sub district,neighborhood,79717.32,9.07,18.06,31.79,16.09,11.8,15,42.39,28.26,15.33
287,Xiaohongmen Regional Office,neighborhood,50072.21,9.21,1.76,7.13,1.68,6.7,1,5.71,5.45,6.3
317,Xiaotangshan Town,neighborhood,27895.81,28.95,0.17,1.52,0.43,0.9,5,1.66,1.44,5.13
114,Xinchengzi town,neighborhood,18194.35,111.24,0.04,0.37,0.03,0.1,0,0.03,0.05,0.52
199,Xincun sub district,neighborhood,55532.98,16.51,13.96,18.47,4.88,10.3,91,37.02,17.44,9.97
36,Xinhua sub district,neighborhood,42539.79,16.41,12.88,29.58,1.43,14.3,8,17.17,6.2,14.45
29,Xinjiekou sub district,neighborhood,113765.97,9.23,21.81,53.02,15.74,8.3,8,44.73,31.48,19.86
220,Xinzhen sub district,neighborhood,24214.14,40.07,2.09,5.75,1.57,5.2,0,3.66,3.66,6.13
222,Xingcheng sub district,neighborhood,25222.45,41.05,6.38,45.69,3.19,21.3,0,6.38,11.69,13.81
259,Xingfeng sub district,neighborhood,39004.71,22.7,18.53,43.38,17.69,4.2,1,18.95,30.32,12.51
85,Xinggu sub district,neighborhood,23267.3,62.1,3.56,13.54,2.65,3.1,4,4.78,10.89,4.75
325,Xingshou town,neighborhood,26334.77,36.53,0.05,1.12,0.16,0.5,3,0.57,0.61,4.07
95,Xiong'erzhai Township,neighborhood,20902.38,71.8,0.02,0.41,0.02,0.2,0,0.02,0.07,0.6
166,Xueyuan Road sub district,neighborhood,94148.11,13.9,7.98,19.72,30.87,20,61,27.82,12.33,18.49
282,Asian Games Village sub district,neighborhood,86104.51,10.42,18.6,22.24,5.37,15.3,28,26.07,19.75,18.05
14,Yanqing town,neighborhood,20316.46,75.91,1.78,7.07,0.95,3.7,7,2.08,2.96,5.07
327,Yanshou town,neighborhood,34395.73,47.33,0.05,0.35,0.02,0.1,0,0.03,0.09,0.55
218,Yancun town,neighborhood,24378.05,39.78,0.67,3.09,1.28,1.5,5,1.91,2.42,6.59
124,Yanji town,neighborhood,24523.9,55.14,0.02,0.22,0.02,0,0,0.02,0.01,1.26
140,Yanqi Regional Office,neighborhood,30435.73,62.63,0.07,0.62,0.07,0.5,1,0.29,0.26,1.76
174,Yanyuan Subdistrict ,neighborhood,99812.49,16.41,13.31,12.84,88.91,9.5,14,32.33,6.18,18.86
161,Yangfangdian sub district,neighborhood,79016.62,12.99,18.17,29.93,4.28,13.7,19,31.92,21.23,15
316,Yangfang town,neighborhood,34942.47,38.76,0.15,1.28,0.32,1.2,6,0.39,0.94,6.83
147,Yangsong town,neighborhood,31122.53,45.27,0.29,2.53,0.42,1.6,2,1.31,1.44,4.4
50,Yangzhen District Office,neighborhood,22419.45,40.61,0.17,1.86,0.18,0.6,1,0.35,0.59,1.88
256,Yizhuang Regional Office,neighborhood,43163.48,13.33,1.51,6.32,1.45,3.3,12,7.63,4.93,7.8
216,Yingfeng sub district,neighborhood,20663.68,47.31,2.67,8.52,1.65,5.1,0,3.31,5.34,5.62
247,Yinghai Regional Office,neighborhood,41382.32,17.67,0.82,3.05,0.82,3.3,3,3.16,2.07,5.9
132,Yongding Regional Office,neighborhood,30541.53,35.4,0.61,2.65,0.49,3.7,10,2.05,1.41,5.06
171,Yongding Road sub district,neighborhood,66086.02,17.21,6.47,49.79,2.59,6.5,1,18.11,33.63,5.84
245,Yongdingmenwai sub district,neighborhood,56945.83,7.6,8.26,42.48,7.96,29.5,3,26.55,15.04,14.85
38,Yongledian town,neighborhood,26682.41,39.15,0.13,1.28,0.16,0.9,3,0.19,0.46,2.93
8,Yongning Town,neighborhood,29778.64,70.58,0.08,0.75,0.03,0.2,0,0.1,0.26,0.76
43,Yongshun Regional Office,neighborhood,41133.44,16.71,1.83,8.03,2.61,6.3,10,8.45,7.91,8.83
197,YouAnMen sub district,neighborhood,61855.2,10.18,16.04,32.99,9.99,12.1,8,25.12,18.16,20.54
34,Yujiajia Hui nationality township,neighborhood,26142.72,31.84,0.18,1.66,0.23,0.9,0,0.52,0.29,3.36
86,Yuyang District Office,neighborhood,23200.82,58.11,2.46,5.87,2.04,3.7,2,1.94,3.56,4.88
248,Yulong town,neighborhood,31510.66,47.01,0.15,0.91,0.18,0.4,2,0.38,0.3,5.98
45,Yuqiao sub district,neighborhood,43950.89,18.24,6.37,26.92,6.73,21.8,4,16.19,16.74,10.04
83,Yukou District Office,neighborhood,22611.11,53.9,0.11,1.24,0.3,0.5,2,0.17,0.5,1.23
21,Yuetan sub district,neighborhood,102278.28,10.42,34.79,55.23,10.95,12.2,4,46.47,28.22,13.86
196,Yungang sub district,neighborhood,37182.4,28.72,2.21,6.08,1.38,1.4,0,4.15,4.01,8.65
129,Zhaitang town,neighborhood,21919.95,66.13,0.01,0.21,0.02,0,0,0.01,0.02,1.28
22,Zhanzhan road sub district,neighborhood,108467.48,10.75,36.2,35.3,9,36,36,47.9,25.93,16.03
225,Zhangfang town,neighborhood,19291.4,71.09,0.04,0.39,0.08,0.1,0,0.05,0.28,1.76
35,Zhangjiawan Town,neighborhood,36792.18,23.39,0.23,2.56,0.55,1.7,9,0.71,1.02,3.88
16,Zhangshanying town,neighborhood,22379.71,85.52,0.03,0.43,0.04,0.3,0,0.1,0.06,1.45
65,Zhangzhen,neighborhood,22031.13,47.61,0.13,2.6,0.15,0.2,1,0.39,0.67,1.81
221,Changgou ,neighborhood,18649.65,62.72,0.18,1.44,0.26,1.5,0,0.33,1,5.66
150,Changshaoying Manchu Township,neighborhood,24406.08,104.46,0.01,0.2,0.01,0,0,0.01,0.02,0.74
191,Changxindian sub district,neighborhood,33855.39,25.06,1.93,6.61,2.94,6.4,0,5.51,3.67,9.47
198,Changxindian town,neighborhood,36130.99,26.75,0.56,1.62,0.32,2.4,6,1.51,1.06,7.76
212,Changyang town,neighborhood,32301.26,29.05,0.59,2.27,0.95,2.4,6,2.21,2.38,7.03
258,Changziying town,neighborhood,25055.07,28.84,0.12,2.29,0.27,0.8,3,0.38,0.57,5.52
56,Zhaoquanying town,neighborhood,31818.84,35,0.16,1.79,0.19,0.5,8,0.82,0.9,2.12
4,Pearl spring town,neighborhood,32453.07,78.12,0.01,0.28,0.03,0.1,0,0.01,0.01,0.3
94,Zhenluoying town,neighborhood,20149.29,76.82,0.05,0.75,0.12,0.4,0,0.09,0.14,0.33
42,Zhongcang sub district,neighborhood,41973.39,17.59,11.53,31.17,7.47,8.5,2,20.07,21.57,11.15
266,Zhongguancun National Independent Innovation Demonstration Zone Daxing bio pharmaceutical industry,neighborhood,31455.44,29.34,1.61,3.36,0.29,4.4,12,4.67,5.84,8.91
179,Zhongguancun sub district,neighborhood,101451.29,14.11,23.05,48.94,12.28,15.1,156,44.02,30.23,17.64
208,Zhoukoudian Regional Office,neighborhood,19961.75,54.42,0.07,0.61,0.17,0.5,0,0.23,0.43,2.64
177,Zizhuyuan sub district ,neighborhood,91618.33,14.08,14.25,22.73,24.49,16,79,38.41,18.57,13.98
278,Zuojiazhuang sub district,neighborhood,84450.91,5.28,41.35,32.6,10.87,27.2,20,41.35,31.09,16.67
