Average housing prices,School density,Park density,Distance away from CBD,keji,yiliao,Road density,Commercial building density,financial,government
0.435264061,0.03328104,0.206680585,0.111515782,0.173652695,0.081597918,0.271683288,0.16077627,0.030482173,0.091284232
0.311871984,0.070259973,0.048016701,0.163198058,0.023952096,0.039447337,0.302810517,0.157620701,0.030020321,0.242090784
0.210360934,0.046279695,0.108559499,0.133628165,0.053892216,0.129154986,0.237231792,0.153360682,0.041197118,0.117794173
0.112640786,0.001792918,0.004175365,0.340183836,0.005988024,0.002002403,0.190994258,0.003313348,0.001477924,0.011629361
0.143704189,0.003473779,0.010438413,0.201179327,0.02994012,0.015518622,0.096101541,0.019564531,0.001755034,0.023133675
0.131785457,0.001120574,0.004175365,0.268123482,0.017964072,0.005406488,0.066485343,0.008677816,0.000646592,0.023383769
0.090197155,0.005602869,0.016701461,0.313562262,0.017964072,0.011413696,0.1683288,0.018144525,0.001385553,0.025009379
0.149424373,0.077879874,0.135699374,0.203000347,0.005988024,0.186924309,0.321849501,0.205585358,0.054221319,0.519694886
0.094513904,0.000224115,0.002087683,0.663371488,0,0.00030036,0.003324267,0.000473335,0.00018474,0.002375891
0.079165461,0.000896459,0.006263048,0.498265695,0,0.004405286,0.020550015,0.000946671,0.000738962,0.013755158
0.074251976,0.000672344,0,0.427072494,0.011976048,0.000800961,0.045330916,0.000788892,9.23702E-05,0.002250844
0.038773181,0.003249664,0.014613779,0.387183489,0,0.008009612,0.138712602,0.005995582,0.001385553,0.013755158
0.106129655,0,0.002087683,0.667620534,0,0.00030036,0.019038985,0.000788892,9.23702E-05,0.002125797
0.366768426,0.112841775,0.382045929,0.012400277,0.02994012,0.287044453,0.340888486,0.409277375,0.101422501,0.456046017
0.105048555,0.005042582,0.033402923,0.281304197,0.011976048,0.009811774,0.128135388,0.021931209,0.00415666,0.038264349
0.115395521,0.029807261,0.167014614,0.400450919,0.005988024,0.28444133,0.356603203,0.268223414,0.191391096,0.499687383
0.545319193,0.114970865,0.415448852,0.026795005,0.041916168,0.185522627,0.282562708,0.480593247,0.094771846,0.490809053
0.072936308,0.000784402,0.014613779,0.422823448,0,0.003003604,0.102145663,0.001577785,0.000646592,0.009003376
0.32278448,0.022075303,0.164926931,0.138744364,0.125748503,0.076792151,0.336355394,0.180340802,0.051357842,0.124796799
0.301669719,0.065665621,0.106471816,0.139698231,0.173652695,0.148678414,0.356603203,0.379615021,0.0840569,0.283856446
0.283212401,0.024204393,0.139874739,0.175598335,0.053892216,0.144773728,0.265639166,0.243925529,0.084426381,0.270476429
0.233550429,0.004370238,0.073068894,0.218002081,0.005988024,0.007909491,0.137503778,0.014357842,0.003510068,0.044766788
0.051314378,0.005042582,0.006263048,0.431234825,0.005988024,0.00720865,0.033544878,0.005522247,0.002863477,0.029010879
0.115582681,0.008740475,0.010438413,0.329171002,0.053892216,0.011613937,0.185252342,0.014831177,0.002586366,0.020382643
0.036317976,0.004482295,0.033402923,0.409382588,0,0.00680817,0.105772137,0.014357842,0.003417698,0.026885082
0.331227368,0.06443299,0.192066806,0.087322234,0.065868263,0.253103724,0.385614989,0.359103818,0.104101238,0.27122671
0.103097219,0.012438368,0.050104384,0.187998613,0.203592814,0.019423308,0.12722877,0.035500158,0.003602439,0.036138552
0.538100681,0.068803227,0.194154489,0.175338189,0.167664671,0.121946336,0.328498036,0.212843168,0.047293553,0.113292485
0.113374122,0.0068355,0.048016701,0.267169615,0.023952096,0.027332799,0.05197945,0.022720101,0.007759098,0.048518194
0.488124476,0.040004482,0.227557411,0.025060701,0.185628743,0.201942331,0.529767301,0.362574945,0.18926658,0.163186195
