Average housing prices,Distance away from CBD,Financial institution density,Retail store density,School density,Park density,Technology companies
0.489643195,0.153399237,0.049233327,0.202075778,0.056336444,0.177453027,0.243589744
0.728540527,0.128338536,0.152318493,0.104789296,0.818284044,0.296450939,0.307692308
0.018700523,0.659122442,9.23702E-05,0.000625234,0.000112448,0,0
0.199751689,0.170915713,0.093755773,0.260597724,0.091082874,0.382045929,0.051282051
0.122982776,0.424991328,0.113153519,0.51106665,0.08962105,0.121085595,0.032051282
0.109832827,0.233697537,0.005265103,0.033512567,0.00674688,0.064718163,0.044871795
0.020675447,0.640391953,0.12617772,0.640115043,0.079838075,0.227557411,0
0.234535883,0.060700659,0.024847589,0.180942854,0.136849207,0.292275574,0.057692308
0.536613982,0.018123482,0.29429152,0.349130924,0.092207354,0.198329854,0.083333333
0.219412276,0.247138398,0.004803251,0.033512567,0.021702463,0.066805846,0.115384615
0.0389859,0.572147069,0.001108443,0.010253845,0.001799168,0.004175365,0.012820513
0.494648598,0.161637183,0.094125254,0.15293235,0.056111548,0.217118998,0.756410256
0.215778453,0.271418661,0.003325328,0.036888833,0.008208703,0.087682672,0.032051282
0.929636187,0.056625043,0.052281544,0.355883456,0.08793433,0.450939457,0.012820513
0.04431746,0.635969476,0.000923702,0.025259472,0.001461824,0.014613779,0
0.192829872,0.241415193,0.249214853,0.682630987,0.056336444,0.482254697,0.012820513
0.25271952,0.05740548,0.031221134,0.094285357,0.023951422,0.108559499,0.102564103
0.017947737,0.672910163,0.00018474,0.00200075,0.000337344,0.004175365,0
0.097286812,0.475546306,0.003971919,0.035888458,0.005285056,0.027139875,0.038461538
0.117521023,0.420828998,0.000554221,0.010003751,0.001799168,0.002087683,0
0.051669622,0.696323274,9.23702E-05,0.001000375,0.000112448,0,0
0.009328521,0.424471037,0.001108443,0.01087908,0.003485888,0.018789144,0.012820513
0.105215637,0.2329171,0.148438943,0.506439915,0.042505341,0.198329854,0.012820513
0.015254475,0.565556712,0.000277111,0.000500188,0.000337344,0.002087683,0
0.193534448,0.172476587,0.031405875,0.057271477,0.010682559,0.018789144,0
0.535778622,0.132154006,0.152410863,0.208953358,0.061846396,0.459290188,0.243589744
0.138732438,0.282604925,0.013486052,0.048393147,0.009782975,0.025052192,0.025641026
0.497680767,0.004682622,0.23970072,0.240215081,0.082986619,0.208768267,0.147435897
0.14731079,0.597554631,9.23702E-05,0.001750656,0.000224896,0.002087683,0
0.424062901,0.166406521,0.012931831,0.060647743,0.017316991,0.106471816,0.108974359
0.159183131,0.17733264,0.003694809,0.027385269,0.008995839,0.041753653,0.102564103
0.172397163,0.294138051,0.001939775,0.017256471,0.006297088,0.03131524,0.076923077
0.308019081,0.133107874,0.003694809,0.022008253,0.003823232,0.064718163,0.012820513
0.130385681,0.131893861,0.005265103,0.026134801,0.007871359,0.045929019,0.076923077
0.44738053,0.10102324,0.229632367,0.408403151,0.078263803,0.363256785,0.166666667
0.009315518,0.783818939,0.000461851,0.004001501,0.000449792,0.002087683,0
0.499821513,0.054977454,0.122575282,0.216456171,0.037332734,0.436325678,0.070512821
0.080542469,0.327870274,0.000646592,0.004251594,0.000674688,0.004175365,0.006410256
0.029070584,0.547086368,0.006373545,0.106164812,0.015517823,0.144050104,0
0.086841608,0.836715227,0.00018474,0.00162561,0.000224896,0.006263048,0
0.557205083,0.061914672,0.191206355,0.392147055,0.13223884,0.294363257,0.006410256
0.489105961,0.031824488,0.061518566,0.63861448,0.103677049,0.534446764,0.012820513
0.126552432,0.236385709,0.003140587,0.034012755,0.003036096,0.014613779,0.025641026
0.6736795,0.053329865,0.202660262,0.403776416,0.101877881,0.298538622,0
0.598354525,0.042230316,0.036578607,0.366262348,0.069605308,0.258872651,0.019230769
0.197524147,0.154006243,0.072880103,0.169563586,0.0700551,0.217118998,0.044871795
0.311429838,0.138224072,0.090060964,0.20282606,0.064095356,0.192066806,0.038461538
0.191363137,0.161377038,0.013855533,0.029260973,0.001911616,0.025052192,0.006410256
0.356567882,0.1526188,0.045076667,0.225834688,0.043067581,0.248434238,0.044871795
0.587552516,0.007197364,0.164788472,0.829561085,0.164174069,0.169102296,0.038461538
0.171138467,0.173083593,0.006188805,0.045517069,0.006409536,0.162839248,0.038461538
0.663096589,0.155480402,0.003787179,0.083656371,0.013943551,0.217118998,0
0.459895052,0.128858828,0.116571217,0.236338627,0.062071292,0.187891441,0.108974359
0.032803698,0.361602497,0.000554221,0.012754783,0.000674688,0.004175365,0
0.283365164,0.046999653,0.014871605,0.078029261,0.014618239,0.129436326,0.019230769
0.046539092,0.52488727,0.002216885,0.01850694,0.004160576,0.010438413,0.012820513
0.134603681,0.261793271,0.002493996,0.008753282,0.004385472,0.056367432,0
0.073424181,0.221210545,0.02928136,0.104914343,0.022377151,0.077244259,0.038461538
0.51926106,0.06668401,0.129595418,0.22858572,0.103677049,0.448851775,0.25
0.554058342,0.08593479,0.14289673,0.20645242,0.077589115,0.298538622,0.147435897
0.139358831,0.247485258,0.001477924,0.01688133,0.002473856,0.035490605,0
0.276300743,0.238120014,0.005819324,0.038889584,0.013943551,0.075156576,0.115384615
0.140284954,0.231529657,0.001847404,0.030886582,0.006409536,0.041753653,0.006410256
0.419263256,0.211238293,0.006927766,0.031011629,0.011694591,0.064718163,0.346153846
0.168531324,0.145508151,0.017550342,0.074277854,0.017204543,0.177453027,0.051282051
0.09713053,0.299514395,0.001293183,0.022008253,0.002473856,0.025052192,0.012820513
0.09218541,0.297953521,0.051173102,0.194322871,0.03418419,0.114822547,0.012820513
0.348739277,0.072060354,0.122760022,0.431036639,0.094343866,0.219206681,0.006410256
0.420973826,0.150537634,0.039811565,0.272227085,0.066906556,0.244258873,0.108974359
0.073271108,0.547433229,0.000831332,0.008503189,0.000674688,0.002087683,0.019230769
0.896051672,0.053069719,0.104008868,0.268100538,0.042167997,0.196242171,0.006410256
0.002244934,0.615417967,0.000831332,0.006002251,0.001236928,0.014613779,0.025641026
0.017978132,0.573534513,0,0.000625234,0.000112448,0.004175365,0
0.047069656,0.553243149,0.001108443,0.011379267,0.002361408,0.006263048,0.006410256
0.669052178,0.045438779,0.19314613,0.82493435,0.133475767,0.354906054,0.044871795
0.297627744,0.206815817,0.00406429,0.025884707,0.00449792,0.154488518,0
0.023427389,0.638484218,0.177720303,0.674753032,0.040593725,0.375782881,0.012820513
0.081212428,0.725026015,0.00018474,0.003876454,0.000112448,0.006263048,0
0.018959051,0.407474853,0.003048217,0.014380393,0.001461824,0.027139875,0.006410256
0.524852837,0.069025321,0.166820617,0.395648368,0.18092882,0.246346555,0.096153846
0.2745564,0.070239334,0.016257159,0.087282731,0.018891263,0.139874739,0.006410256
0.08731898,0.241415193,0.001570294,0.017131424,0.004835264,0.018789144,0.032051282
0.005408646,0.954994797,0.000369481,0.002751032,0.000337344,0.002087683,0
0.320662192,0.13354145,0.128948827,0.229085907,0.05487462,0.215031315,0.583333333
0.210959473,0.132674298,0.118972843,0.368013005,0.016080063,0.298538622,0.051282051
0.812328774,0.070412764,0.201459449,0.661122921,0.176993141,0.173277662,0.051282051
0.056234296,0.337842525,0.019305376,0.07002626,0.017654335,0.108559499,0
0.064747552,0.346340617,0.0589322,0.569463549,0.03587091,0.444676409,0
0.181112462,0.187218176,0.171162017,0.540577717,0.198920499,0.087682672,0.006410256
0.048240037,0.528876171,0.032883798,0.167437789,0.029798718,0.064718163,0.025641026
0.074138973,0.307145335,0.000461851,0.012129549,0.001799168,0.010438413,0.019230769
0.028272796,0.612989941,0.00018474,0.003251219,0.000224896,0.004175365,0
0.646693347,0.110908776,0.073711435,0.244716769,0.347126954,0.417536534,0.391025641
0.57878048,0.080731877,0.171808609,0.276228586,0.060384572,0.319415449,0.179487179
0.023325819,0.648629899,0.016441899,0.08653245,0.010682559,0.077244259,0.044871795
0.142198413,0.40079778,0.000461851,0.002500938,0.000224896,0.002087683,0
0.057618203,0.335327784,0.006188805,0.036763786,0.014393343,0.03131524,0.032051282
0.058849629,0.468522373,0.00018474,0.000875328,0.000224896,0,0
0.108763762,0.533472078,0.000646592,0.005877204,0.000787136,0.010438413,0.006410256
0.694518237,0.132674298,0.122944763,0.158684507,0.999775104,0.198329854,0.08974359
0.518936761,0.10301769,0.167836689,0.372389646,0.048127741,0.286012526,0.121794872
0.14681459,0.32648283,0.001385553,0.014130299,0.003598336,0.025052192,0.038461538
0.114562479,0.382934443,0.002678736,0.02976116,0.004722816,0.033402923,0.012820513
0.04108156,0.342525147,0.001570294,0.021383019,0.002024064,0.012526096,0.006410256
0.216225346,0.105966008,0.013947903,0.077153933,0.016304959,0.068893528,0.076923077
0.02625743,0.40062435,0.024662849,0.104664249,0.018553919,0.106471816,0
0.201186846,0.143600416,0.007574358,0.036263599,0.009220735,0.068893528,0.019230769
0.109657042,0.297346514,0.005634583,0.031261723,0.005509952,0.077244259,0.064102564
0.409762496,0.139611516,0.059763532,0.620732775,0.02912403,0.135699374,0.006410256
0.332591017,0.056278182,0.076297802,0.529323496,0.089508602,0.615866388,0.019230769
0.07707413,0.329864724,0.001200813,0.014130299,0.001799168,0.018789144,0.019230769
0.10321589,0.602410683,0.000738962,0.007502814,0.000337344,0.004175365,0
0.199085529,0.135275754,0.01690375,0.098536951,0.029348926,0.131524008,0.064102564
0.374041287,0.078650711,0.148161833,0.410653995,0.112335545,0.252609603,0.051282051
0.072517477,0.266475893,0.001662664,0.018882081,0.002586304,0.018789144,0
